순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
98,빅슬립,2023-11-22,64302597 ,0,8680,61,한국,한국,찬란
99,엘 카미노,2023-03-29,90188000 ,0,8528,34,한국,한국,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON"
100,아머드 사우루스: 기계공룡제국의 침략,2023-04-20,76296435 ,0,8252,236,한국,한국,트윈플러스파트너스(주)
101,그대 어이가리,2023-03-08,65789394 ,0,7943,82,한국,한국,(주)영화사 순수
102,강다니엘: 마이 퍼레이드,2023-08-30,158654500 ,0,7933,26,한국,한국,"씨제이 씨지브이(CJ CGV)(주),(주)위즈온센"
103,스프린터,2023-05-24,63865980 ,0,7771,48,한국,한국,스튜디오 에이드
104,엄마의 땅: 그리샤와 숲의 주인,2023-01-25,71335389 ,0,7718,121,한국,한국,(주)더쿱디스트리뷰션
105,약속,2023-11-01,66160608 ,0,7634,42,한국,한국,엠라인디스트리뷰션(주)
106,장기자랑,2023-04-05,69939195 ,0,7372,57,한국,한국,(주)영화사 진진
107,뮤지컬 레드북,2023-01-25,141349500 ,0,7296,35,한국,한국,씨제이 씨지브이(CJ CGV)(주)
108,비의도적 연애담 스페셜,2023-06-14,107713000 ,0,7181,23,한국,한국,주식회사 넘버쓰리픽쳐스
109,비밀,2023-12-13,68269305 ,0,6721,126,한국,한국,(주)영화특별시에스엠씨
110,교토에서 온 편지,2023-12-06,56905197 ,0,6541,66,한국,한국,판씨네마(주)
111,어디로 가고 싶으신가요,2023-07-05,56558216 ,0,6533,89,한국,한국,(주)디스테이션
112,차박- 살인과 낭만의 밤,2023-09-13,58756696 ,0,6465,90,한국,한국,(주)디스테이션
113,로보카폴리 안전교실 교통편,2022-09-19,37881000 ,0,6304,16,한국,한국,(주)로이비쥬얼
114,폭로,2023-09-20,51638600 ,0,6136,145,한국,한국,(주)메리크리스마스
115,서태지 25주년 라이브 타임: 트래블러,2023-09-06,118467500 ,0,5924,44,한국,한국,씨제이 씨지브이(CJ CGV)(주)
116,믿을 수 있는 사람,2023-10-18,48315272 ,0,5526,62,한국,한국,찬란
117,마리앙투아네트,2023-01-02,96237000 ,0,4812,8,한국,한국,씨제이 씨지브이(CJ CGV)(주)
118,홈그라운드,2023-12-06,42489800 ,0,4783,35,한국,한국,영화배급협동조합 씨네소파
119,살수,2023-02-22,42416765 ,0,4600,188,한국,한국,"TCO(주)더콘텐츠온,와이드 릴리즈(주),(주)제이앤씨미디어그룹"
120,슈가: 로드 투 디데이,2023-06-16,94042500 ,0,4563,80,한국,한국,"롯데컬처웍스(주)롯시플,(주)영화사 그램"
121,다섯 번째 흉추,2023-08-02,38051203 ,0,4402,43,한국,한국,㈜인디스토리
122,익스트림 페스티벌,2023-06-07,37120331 ,0,4293,42,한국,한국,트윈플러스파트너스(주)
123,여덟 번째 감각,2023-03-29,35928804 ,0,4196,80,한국,한국,"(주)플레이그램,(주)영화특별시에스엠씨"
124,울지마 엄마,2023-05-17,31734000 ,0,4181,99,한국,한국,주식회사 원더스튜디오
125,위너 2022 콘서트 더 서클 더 무비,2023-01-25,91370200 ,0,4166,31,한국,한국,씨제이 씨지브이(CJ CGV)(주)
126,제이홉 인 더 박스,2023-06-16,85413500 ,0,4162,80,한국,한국,"롯데컬처웍스(주)롯시플,(주)영화사 그램"
127,퀴어 마이 프렌즈,2023-08-09,35410406 ,0,4048,38,한국,한국,(주)영화사 그램
128,우리의 하루,2023-10-19,37789790 ,0,4018,47,한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다"
129,물꽃의 전설,2023-08-30,33802883 ,0,3975,33,한국,한국,(주)영화사 진진
130,물안에서,2023-04-12,36109098 ,0,3918,61,한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다"
131,거신: 바람의 아이,2023-05-18,31850077 ,0,3904,77,한국,한국,트윈플러스파트너스(주)
132,백남준: 달은 가장 오래된 TV,2023-12-06,34984484 ,0,3857,33,한국,"한국,미국",(주)엣나인필름
133,헤어질 결심,2022-06-29,36452889 ,0,3830,1374,한국,한국,(주)씨제이이엔엠
134,언더 유어 베드,2023-12-13,31340878 ,0,3742,54,한국,한국,(주)트리플픽쳐스
135,프리 철수 리,2023-10-18,32724000 ,0,3640,59,한국,한국,커넥트픽쳐스(주)
136,절해고도,2023-09-27,31551100 ,0,3549,36,한국,한국,"아이 엠,무브먼트"
137,신세계로부터,2023-12-20,30079739 ,0,3531,20,한국,한국,필름다빈
138,"열여덟, 어른이 되는 나이",2023-01-25,31388297 ,0,3420,34,한국,한국,필름다빈
139,그녀의 취미생활,2023-08-30,29809412 ,0,3372,52,한국,한국,(주)트리플픽쳐스
140,비욘드 라이브 더 무비 - 태민 : 엔.지.디.에이,2023-11-29,55026000 ,0,3335,30,한국,한국,씨제이 씨지브이(CJ CGV)(주)
141,찬란한 나의 복수,2023-03-29,28584999 ,0,3289,59,한국,한국,영화배급협동조합 씨네소파
142,매트,2023-11-30,37823156 ,0,3173,9,한국,한국,시네마 뉴원
143,느티나무 아래,2023-11-15,26800450 ,0,3089,13,한국,한국,"미디어나무(주),스튜디오 에이드"
144,흐르다,2023-03-29,25201597 ,0,3051,43,한국,한국,M&M 인터내셔널
145,사랑의 고고학,2023-04-12,27196958 ,0,3000,42,한국,"한국,프랑스","(주)맑은시네마,(주)엣나인필름"
146,쏜애플 불구경 2022 라이브 콘서트 필름,2023-03-08,58910900 ,0,2957,10,한국,한국,씨제이 씨지브이(CJ CGV)(주)
147,말이야 바른 말이지,2023-05-17,24610082 ,0,2943,34,한국,한국,서울독립영화제
148,5시부터 7시까지의 주희,2023-11-08,24511547 ,0,2906,41,한국,한국,"(주)모쿠슈라,㈜인디스토리"
149,이태석,2022-12-29,20206197 ,0,2869,100,한국,한국,"THE 픽쳐스,주식회사 블루필름웍스"
150,번개맨: 더 비기닝,2023-09-20,24776167 ,0,2725,181,한국,한국,"(주)드림팩트엔터테인먼트,(주)빅브라더스"
151,제비,2023-04-12,24598397 ,0,2586,28,한국,한국,(주)시네마달
152,마마무: 마이콘 더 무비,2023-06-21,48225500 ,0,2412,21,한국,한국,(주)위즈온센
153,독친,2023-11-01,21370811 ,0,2405,52,한국,한국,(주)트리플픽쳐스
154,206: 사라지지 않는,2023-06-21,22619406 ,0,2359,26,한국,한국,찬란
155,작은정원,2023-07-12,16574800 ,0,2357,20,한국,한국,(주)시네마달
156,수운잡방,2023-12-02,26224300 ,0,2300,11,한국,한국,와이드 릴리즈(주)
157,잔고: 분노의 적자,2023-09-13,18928045 ,0,2163,42,한국,한국,(주)영화사 그램
158,차별,2023-03-22,19088398 ,0,2127,24,한국,한국,(주)디오시네마
159,10일간의 애인,2023-01-12,21160996 ,0,2118,50,한국,한국,(주)그노스
160,강남좀비,2023-01-05,21235695 ,0,2098,51,한국,한국,"와이드 릴리즈(주),(주)제이앤씨미디어그룹"
