순위,영화명,개봉일,매출액 ,매출액 점유율,관객수,스크린수,대표국적,국적,배급사
86,그린치,2018-12-19,513096950 ,0.001,67906,724,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
87,몬스터 하우스,2019-10-03,513741000 ,0.001,64826,202,캐나다,캐나다,(주)박수엔터테인먼트
88,닥터 슬립,2019-11-07,542928260 ,0.001,62349,484,미국,미국,워너브러더스 코리아(주)
89,안녕 베일리,2019-09-05,501221800 ,0.001,61059,184,미국,미국,CGV아트하우스
90,사탄의 인형,2019-06-20,558760590 ,0.001,60340,465,미국,미국,(주)이수C&E
91,애프터,2019-08-22,493655240 ,0.001,58645,235,미국,미국,판씨네마(주)
92,더 룸,2019-09-25,461964100 ,0,56787,163,프랑스,"프랑스,룩셈부르크,벨기에","(주)퍼스트런,(주)팬엔터테인먼트"
93,사일런스,2019-07-17,463969062 ,0,54158,456,미국,미국,(주)이수C&E
94,빅샤크2: 해저2만리,2019-06-06,384674920 ,0,53147,344,중국,중국,와이드 릴리즈(주)
95,어글리 돌,2019-05-01,382039870 ,0,52505,353,미국,미국,판씨네마(주)
96,콜레트,2019-03-27,409004989 ,0,51149,169,영국,"영국,미국,헝가리","(주)넥스트엔터테인먼트월드(NEW),(주)팬엔터테인먼트"
97,슈퍼미니 2,2019-02-27,374780620 ,0,48942,345,프랑스,프랑스,(주)박수엔터테인먼트
98,세상을 바꾼 변호인,2019-06-13,378597170 ,0,47961,185,미국,미국,CGV아트하우스
99,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,2019-03-21,397411880 ,0,45157,94,일본,일본,(주)애니플러스
100,업사이드,2019-06-13,376171100 ,0,44539,188,미국,미국,(주)디스테이션
101,허슬러,2019-11-27,356771960 ,0,43809,445,미국,미국,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
102,빅트립: 아기팬더 배달 대모험,2019-10-23,330035500 ,0,42914,373,미국,미국,(주)트리플픽쳐스
103,마담 싸이코,2019-06-26,360330700 ,0,42742,197,미국,미국,(주)쇼박스
104,쿠르스크,2019-01-16,355683500 ,0,42484,192,벨기에,벨기에,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온"
105,파비안느에 관한 진실,2019-12-05,280999440 ,0,42470,109,프랑스,프랑스,(주)티캐스트
106,일일시호일,2019-01-17,331259019 ,0,41931,55,일본,일본,(주)영화사 진진
107,더 와이프,2019-02-27,319839451 ,0,41525,106,영국,영국,(주)팝엔터테인먼트
108,레플리카,2019-09-25,324884230 ,0,40985,360,미국,미국,(주)제이앤씨미디어그룹
109,주전장,2019-07-25,309500090 ,0,39980,56,미국,미국,(주)시네마달
110,몬스터 파크,2019-01-23,275767940 ,0,38262,344,영국,"영국,멕시코",(주)박수엔터테인먼트
111,프란치스코 교황 : 맨 오브 히스 워드,2019-11-21,273031260 ,0,37282,54,이탈리아,"이탈리아,스위스,독일,프랑스","㈜영화사 백두대간,영화사 풀"
112,인생 후르츠,2018-12-06,281951180 ,0,36131,33,일본,일본,(주)엣나인필름
113,드래곤볼 슈퍼: 브로리,2019-02-14,305497430 ,0,35869,202,일본,일본,(주)이수C&E
114,안도 타다오,2019-04-25,285051985 ,0,34747,49,일본,일본,(주)영화사 진진
115,아이리시맨,2019-11-20,293466900 ,0,34723,68,미국,미국,판씨네마(주)
116,빠삐용,2019-02-27,275814950 ,0,34638,191,미국,미국,(주)드림팩트엔터테인먼트
117,서스페리아,2019-05-16,302214765 ,0,33030,257,이탈리아,"이탈리아,미국",(주)홈초이스
118,빅 위시,2019-10-30,251990300 ,0,32684,336,멕시코,멕시코,(주)박수엔터테인먼트
119,100일 동안 100가지로 100퍼센트 행복찾기,2019-09-12,259264770 ,0,32573,37,독일,독일,(주)영화사 진진
120,너를 만난 여름,2019-10-16,266567000 ,0,32291,174,중국,중국,"오드,(주)홈초이스"
121,누구나 아는 비밀,2019-08-01,237555620 ,0,30940,52,스페인,"스페인,프랑스,이탈리아","오드,(주)티캐스트"
122,더 길티,2019-03-27,257338700 ,0,30796,108,덴마크,덴마크,(주)팝엔터테인먼트
123,신밧드와 마법 양탄자,2019-02-13,204586840 ,0,30534,258,덴마크,덴마크,(주)박수엔터테인먼트
124,북클럽,2019-06-20,217597690 ,0,29453,73,미국,미국,(주)영화사 진진
125,왕이 될 아이,2019-01-16,229649450 ,0,29236,264,미국,미국,이십세기폭스코리아(주)
126,플레이모빌: 더 무비,2019-09-11,225898260 ,0,28850,295,캐나다,캐나다,(주)올스타엔터테인먼트
127,마리아 칼라스: 세기의 디바,2019-07-11,205683580 ,0,28048,26,프랑스,프랑스,(주)영화사 진진
128,콜드 워,2019-02-07,222422373 ,0,26933,65,폴란드,폴란드,아이 엠
129,러브라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우,2019-02-14,240726070 ,0,26931,66,일본,일본,(주)애니플러스
130,굿 라이어,2019-12-05,215325720 ,0,26382,324,미국,미국,워너브러더스 코리아(주)
131,블라인드 멜로디,2019-08-28,208513400 ,0,25833,151,인도,인도,찬란
132,전원사형,2019-05-13,137483280 ,0,25816,1,일본,일본,제인앤유
133,"미안해요, 리키",2019-12-19,200839200 ,0,25647,69,프랑스,프랑스,(주)영화사 진진
